gene_symbol	TCGA-04-1348-01A-01R-1565-13	TCGA-04-1357-01A-01R-1565-13	TCGA-04-1362-01A-01R-1565-13	TCGA-04-1364-01A-01R-1565-13	TCGA-04-1365-01A-01R-1565-13	TCGA-04-1514-01A-01R-1566-13	TCGA-04-1519-01A-01R-1565-13	TCGA-09-0364-01A-02R-1564-13	TCGA-09-0366-01A-01R-1564-13
PMEPA1	2.90098598536311	2.43991935825505	4.51365496597445	5.17777829836266	3.16024755872778	3.90110727735486	1.8423980175681	2.83934711808417	3.7274303994409
PMF1	6.68831745846689	6.40431902025307	6.0247181562525	7.22736083216213	7.0800340234023	6.76918989006193	6.47434226178164	8.0206677609107	6.4187907208449
PMFBP1	0.487763748200788	0.377878807222801	0.190687799004321	0.680225953133693	0.417890311313498	0.236869124133944	0.130406819440743	0.256423883413348	0.761777578193525
PML	6.58328664897923	7.03681869649328	6.93599358763066	6.03816508017943	6.06544909479897	5.55951689801523	5.9653938962777	5.17541561641285	6.39951651297213
PMM1	3.9354842639833	3.95359583815003	3.00525858591946	4.75024096149479	4.39357133539223	2.45106759363533	3.96578059135806	3.99088862193428	5.12165120744555
PMM2	6.04721903412559	4.39204191042001	4.37946778539816	4.0544716951587	5.22262220374649	3.93290967711188	4.54532840181508	4.86674085711238	4.45308753801188
PMP2	0.159342426528109	0.00166316228970851	0.0494481820683275	0.0470682462473821	0.0537375735170383	0.0228268171065135	0	0.0427011336535149	0.0198556466660438
PMP22	4.30851305326593	4.61921461171511	3.21844176136042	3.01598187138791	4.20259716569166	4.09076114242928	2.47472182821324	3.73193915476018	4.22206958220207
PMPCA	5.30552079392257	4.45964800666473	5.69629434327261	5.06002230062444	5.49207301041177	5.25656725336208	4.48444687873616	5.34228769987045	5.26392078981049
PMPCB	6.02620604236285	6.13105211863807	5.39383351667199	6.44630106524288	5.606717001019	6.4733326703631	6.33582122290909	6.05328449292735	5.73476326310048
PMS1	3.44140725270205	3.10452755264507	3.04801048528838	3.59251683685943	3.25815767809589	3.52335870991793	3.57425291650018	3.16438533081446	3.04291131633716
PMS2	4.34067263880815	4.26179104854118	3.67300230460302	4.60689640421083	4.38707987506997	4.3384101517863	4.74530349447914	4.42073704421116	4.3596764794897
PMS2CL	3.06667080229866	2.1351089590455	2.43687527977327	2.86001366301474	2.92611729711143	2.65976612717848	3.72818066061685	3.65718151658402	2.1881204612299
PMVK	4.96499693543937	6.29077990977578	4.98646008617011	5.75811285932889	6.39283086213899	5.3458515814465	6.41978325257132	5.40846527766973	4.98998366332625
PNCK	1.64139296582119	4.40504749339021	2.54819023573525	3.17139852271531	2.09367543842967	4.2505265778381	3.49527687390786	3.44373235141292	3.84628569736011
PNKD	8.19253743535146	6.93036479033617	7.71249260920653	7.24851870743446	7.72545487908643	7.01275413817433	7.47998796483392	6.13908511262874	7.69461836723931
PNKP	4.26631505837283	4.8970564460203	4.55201180117327	4.55789160256092	4.52496695846439	3.98090728705697	3.49951554383753	5.4152911884209	4.90864961077719
PNLDC1	0.321525930877385	0.00166006262474634	0.0584720696523764	3.9768630847196	0.0271131344498151	1.61276389718748	0.0623573052226326	0	0.0595063511677003
PNLIP	0.00320481408263509	0.00163870199097915	0	0	0.00379691470073438	0.000630260316486838	0	0	0
PNLIPRP1	0.02607012239227	0.00160282065983356	0	0.0375934691046879	0.00378462641577199	0.0180568239537319	0	0.0345881615375747	0
PNLIPRP2	0.00321994596193358	0.00146280590574524	0	0.177791530928155	0.00377214664875409	0.102764970815909	0	0.0347365272162069	0
PNLIPRP3	0.00322522596009019	0.00143803824857031	0	0	0.00376022652143758	0.000634287709769271	0	0	0
PNMA1	4.75271006194496	4.73382558018078	5.64499460396701	6.47029639587944	4.67491650642016	7.45462913229774	6.35518087039363	6.91220673811452	5.32606233968966
PNMA2	0.37492829435535	0.407459351623092	0.16810143706076	0.682604038559245	0.194515887486551	2.65502134489873	3.07384730498737	2.24847897312796	0.252954873314993
PNMA3	1.82437520747407	0.92944614860566	3.61526914804853	4.74654334269791	1.18855854261203	5.2925612797478	4.11632815649171	4.52496695846439	1.27250341008578
PNMA5	0.0756563108669654	0.755277297760062	0.0744855152518336	0.191086811333088	0.0591250649335157	0.277115298784023	0.282397813518041	0.145081083206732	0.0672579493225373
PNMA6A	1.4150409256755	0.689271245794343	3.37021855499036	4.29418475019641	1.96612070500096	4.16346813909492	2.61534142961811	2.43636975155541	3.08647162391582
PNMAL1	2.31517115948854	4.46042411366426	4.22244523331327	4.28475100953423	3.25330117556751	4.95931576452921	4.1705420223564	5.36530059939658	3.19313997270129
PNMAL2	0.62004207159535	1.77760445282091	1.63482463866177	1.22217022919092	1.07620265275448	1.05899109653429	0.939336496745675	2.17124750674476	1.14284732483361
PNMT	0.169379880341951	0.922358553388997	1.2630145686406	4.28437643102539	1.26124194644238	2.59940301969977	2.50367362302184	0.405036162131933	3.59821273279752
PNN	5.67622339546485	5.0343869723759	4.75886119132279	4.90133418960387	5.72099963247698	6.10421524185257	5.51019765799433	5.84884899709919	4.31077708050114
PNO1	5.58295907038024	4.48599863937045	3.83700568997983	5.33366487836658	4.5685441341443	4.63479072526822	4.32629500909288	4.61205048028154	4.51326459615447
PNOC	4.15009901289673	5.86027653536965	3.30194242401943	4.21496250674117	3.50760691909301	4.56301531849552	8.76801390463241	1.80512609233195	1.81040114888184
PNP	5.82287976244592	5.18250916848921	4.71261888979349	5.58411496904759	6.60745652554872	5.55667832478211	5.03348731566908	4.59064752582481	5.23661583534828
PNPLA1	0.0152431485022268	0.00122943296469965	0.140550554535472	0	0.138950738837184	0.0274362484652542	0	0.0660664241197417	0.00912455146759944
PNPLA2	6.8956831207512	6.35332823189088	6.76794606188554	7.10859972586026	6.15761574175916	6.82762724518876	7.27548482385131	7.72022168125905	7.49721635247314
PNPLA3	1.07677319188006	0.25667302428895	0.497158091044833	1.03842353870357	0.808032417426066	0.150058285425692	0.148222828574168	1.76403738563897	0.889322372879985
PNPLA4	4.44767308107229	3.83179922818488	4.57247559189671	0.467447793759	4.12674411415157	3.03822826125442	4.14787405810971	3.03993306136206	3.93511742072381
PNPLA5	0.0651769879449739	0.00117858478327785	0.0683621956786259	1.1562820508007	0.0855478715606885	0.11192937764049	0.0536480860204389	0.268812594803904	0.0172760345177349
